token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,exchange_type
64553,NIFTY27MAR2518000PE,NIFTY,27MAR2025,18000.0,75,OPTIDX,NFO,5.0,2
64552,NIFTY27MAR2518000CE,NIFTY,27MAR2025,18000.0,75,OPTIDX,NFO,5.0,2
64555,NIFTY27MAR2519000PE,NIFTY,27MAR2025,19000.0,75,OPTIDX,NFO,5.0,2
64554,NIFTY27MAR2519000CE,NIFTY,27MAR2025,19000.0,75,OPTIDX,NFO,5.0,2
64556,NIFTY27MAR2520000CE,NIFTY,27MAR2025,20000.0,75,OPTIDX,NFO,5.0,2
64557,NIFTY27MAR2520000PE,NIFTY,27MAR2025,20000.0,75,OPTIDX,NFO,5.0,2
64561,NIFTY27MAR2521000PE,NIFTY,27MAR2025,21000.0,75,OPTIDX,NFO,5.0,2
64560,NIFTY27MAR2521000CE,NIFTY,27MAR2025,21000.0,75,OPTIDX,NFO,5.0,2
46830,NIFTY27MAR2521100PE,NIFTY,27MAR2025,21100.0,75,OPTIDX,NFO,5.0,2
46829,NIFTY27MAR2521100CE,NIFTY,27MAR2025,21100.0,75,OPTIDX,NFO,5.0,2
46841,NIFTY27MAR2521150PE,NIFTY,27MAR2025,21150.0,75,OPTIDX,NFO,5.0,2
46831,NIFTY27MAR2521150CE,NIFTY,27MAR2025,21150.0,75,OPTIDX,NFO,5.0,2
46842,NIFTY27MAR2521200CE,NIFTY,27MAR2025,21200.0,75,OPTIDX,NFO,5.0,2
46849,NIFTY27MAR2521200PE,NIFTY,27MAR2025,21200.0,75,OPTIDX,NFO,5.0,2
46854,NIFTY27MAR2521250CE,NIFTY,27MAR2025,21250.0,75,OPTIDX,NFO,5.0,2
46855,NIFTY27MAR2521250PE,NIFTY,27MAR2025,21250.0,75,OPTIDX,NFO,5.0,2
46866,NIFTY27MAR2521300CE,NIFTY,27MAR2025,21300.0,75,OPTIDX,NFO,5.0,2
46867,NIFTY27MAR2521300PE,NIFTY,27MAR2025,21300.0,75,OPTIDX,NFO,5.0,2
46869,NIFTY27MAR2521350PE,NIFTY,27MAR2025,21350.0,75,OPTIDX,NFO,5.0,2
46868,NIFTY27MAR2521350CE,NIFTY,27MAR2025,21350.0,75,OPTIDX,NFO,5.0,2
46874,NIFTY27MAR2521400CE,NIFTY,27MAR2025,21400.0,75,OPTIDX,NFO,5.0,2
46877,NIFTY27MAR2521400PE,NIFTY,27MAR2025,21400.0,75,OPTIDX,NFO,5.0,2
46878,NIFTY27MAR2521450CE,NIFTY,27MAR2025,21450.0,75,OPTIDX,NFO,5.0,2
46879,NIFTY27MAR2521450PE,NIFTY,27MAR2025,21450.0,75,OPTIDX,NFO,5.0,2
46882,NIFTY27MAR2521500PE,NIFTY,27MAR2025,21500.0,75,OPTIDX,NFO,5.0,2
46880,NIFTY27MAR2521500CE,NIFTY,27MAR2025,21500.0,75,OPTIDX,NFO,5.0,2
46883,NIFTY27MAR2521550CE,NIFTY,27MAR2025,21550.0,75,OPTIDX,NFO,5.0,2
46886,NIFTY27MAR2521550PE,NIFTY,27MAR2025,21550.0,75,OPTIDX,NFO,5.0,2
46891,NIFTY27MAR2521600PE,NIFTY,27MAR2025,21600.0,75,OPTIDX,NFO,5.0,2
46888,NIFTY27MAR2521600CE,NIFTY,27MAR2025,21600.0,75,OPTIDX,NFO,5.0,2

46893,NIFTY27MAR2521650PE,NIFTY,27MAR2025,21650.0,75,OPTIDX,NFO,5.0,2

46892,NIFTY27MAR2521650CE,NIFTY,27MAR2025,21650.0,75,OPTIDX,NFO,5.0,2
46900,NIFTY27MAR2521700CE,NIFTY,27MAR2025,21700.0,75,OPTIDX,NFO,5.0,2
46901,NIFTY27MAR2521700PE,NIFTY,27MAR2025,21700.0,75,OPTIDX,NFO,5.0,2
46909,NIFTY27MAR2521750PE,NIFTY,27MAR2025,21750.0,75,OPTIDX,NFO,5.0,2
46908,NIFTY27MAR2521750CE,NIFTY,27MAR2025,21750.0,75,OPTIDX,NFO,5.0,2
46918,NIFTY27MAR2521800CE,NIFTY,27MAR2025,21800.0,75,OPTIDX,NFO,5.0,2
46920,NIFTY27MAR2521800PE,NIFTY,27MAR2025,21800.0,75,OPTIDX,NFO,5.0,2
46926,NIFTY27MAR2521850CE,NIFTY,27MAR2025,21850.0,75,OPTIDX,NFO,5.0,2
46927,NIFTY27MAR2521850PE,NIFTY,27MAR2025,21850.0,75,OPTIDX,NFO,5.0,2
46929,NIFTY27MAR2521900PE,NIFTY,27MAR2025,21900.0,75,OPTIDX,NFO,5.0,2
46928,NIFTY27MAR2521900CE,NIFTY,27MAR2025,21900.0,75,OPTIDX,NFO,5.0,2
46943,NIFTY27MAR2521950PE,NIFTY,27MAR2025,21950.0,75,OPTIDX,NFO,5.0,2
46942,NIFTY27MAR2521950CE,NIFTY,27MAR2025,21950.0,75,OPTIDX,NFO,5.0,2
64563,NIFTY27MAR2522000PE,NIFTY,27MAR2025,22000.0,75,OPTIDX,NFO,5.0,2
64562,NIFTY27MAR2522000CE,NIFTY,27MAR2025,22000.0,75,OPTIDX,NFO,5.0,2
46953,NIFTY27MAR2522050PE,NIFTY,27MAR2025,22050.0,75,OPTIDX,NFO,5.0,2
46951,NIFTY27MAR2522050CE,NIFTY,27MAR2025,22050.0,75,OPTIDX,NFO,5.0,2
46958,NIFTY27MAR2522100CE,NIFTY,27MAR2025,22100.0,75,OPTIDX,NFO,5.0,2
46959,NIFTY27MAR2522100PE,NIFTY,27MAR2025,22100.0,75,OPTIDX,NFO,5.0,2
46975,NIFTY27MAR2522150PE,NIFTY,27MAR2025,22150.0,75,OPTIDX,NFO,5.0,2
46974,NIFTY27MAR2522150CE,NIFTY,27MAR2025,22150.0,75,OPTIDX,NFO,5.0,2
46976,NIFTY27MAR2522200CE,NIFTY,27MAR2025,22200.0,75,OPTIDX,NFO,5.0,2
46977,NIFTY27MAR2522200PE,NIFTY,27MAR2025,22200.0,75,OPTIDX,NFO,5.0,2
46985,NIFTY27MAR2522250PE,NIFTY,27MAR2025,22250.0,75,OPTIDX,NFO,5.0,2
46984,NIFTY27MAR2522250CE,NIFTY,27MAR2025,22250.0,75,OPTIDX,NFO,5.0,2
46986,NIFTY27MAR2522300CE,NIFTY,27MAR2025,22300.0,75,OPTIDX,NFO,5.0,2
46987,NIFTY27MAR2522300PE,NIFTY,27MAR2025,22300.0,75,OPTIDX,NFO,5.0,2
46989,NIFTY27MAR2522350PE,NIFTY,27MAR2025,22350.0,75,OPTIDX,NFO,5.0,2
46988,NIFTY27MAR2522350CE,NIFTY,27MAR2025,22350.0,75,OPTIDX,NFO,5.0,2
46992,NIFTY27MAR2522400PE,NIFTY,27MAR2025,22400.0,75,OPTIDX,NFO,5.0,2
46991,NIFTY27MAR2522400CE,NIFTY,27MAR2025,22400.0,75,OPTIDX,NFO,5.0,2
46996,NIFTY27MAR2522450PE,NIFTY,27MAR2025,22450.0,75,OPTIDX,NFO,5.0,2
46994,NIFTY27MAR2522450CE,NIFTY,27MAR2025,22450.0,75,OPTIDX,NFO,5.0,2
46998,NIFTY27MAR2522500PE,NIFTY,27MAR2025,22500.0,75,OPTIDX,NFO,5.0,2
46997,NIFTY27MAR2522500CE,NIFTY,27MAR2025,22500.0,75,OPTIDX,NFO,5.0,2
47015,NIFTY27MAR2522550PE,NIFTY,27MAR2025,22550.0,75,OPTIDX,NFO,5.0,2
47014,NIFTY27MAR2522550CE,NIFTY,27MAR2025,22550.0,75,OPTIDX,NFO,5.0,2
47021,NIFTY27MAR2522600PE,NIFTY,27MAR2025,22600.0,75,OPTIDX,NFO,5.0,2
47017,NIFTY27MAR2522600CE,NIFTY,27MAR2025,22600.0,75,OPTIDX,NFO,5.0,2
47026,NIFTY27MAR2522650PE,NIFTY,27MAR2025,22650.0,75,OPTIDX,NFO,5.0,2
47025,NIFTY27MAR2522650CE,NIFTY,27MAR2025,22650.0,75,OPTIDX,NFO,5.0,2
47038,NIFTY27MAR2522700CE,NIFTY,27MAR2025,22700.0,75,OPTIDX,NFO,5.0,2
47039,NIFTY27MAR2522700PE,NIFTY,27MAR2025,22700.0,75,OPTIDX,NFO,5.0,2
47040,NIFTY27MAR2522750CE,NIFTY,27MAR2025,22750.0,75,OPTIDX,NFO,5.0,2
47041,NIFTY27MAR2522750PE,NIFTY,27MAR2025,22750.0,75,OPTIDX,NFO,5.0,2
48191,NIFTY27MAR2522800PE,NIFTY,27MAR2025,22800.0,75,OPTIDX,NFO,5.0,2
47042,NIFTY27MAR2522800CE,NIFTY,27MAR2025,22800.0,75,OPTIDX,NFO,5.0,2
48192,NIFTY27MAR2522850CE,NIFTY,27MAR2025,22850.0,75,OPTIDX,NFO,5.0,2
48212,NIFTY27MAR2522850PE,NIFTY,27MAR2025,22850.0,75,OPTIDX,NFO,5.0,2
48217,NIFTY27MAR2522900CE,NIFTY,27MAR2025,22900.0,75,OPTIDX,NFO,5.0,2
48243,NIFTY27MAR2522900PE,NIFTY,27MAR2025,22900.0,75,OPTIDX,NFO,5.0,2
48246,NIFTY27MAR2522950PE,NIFTY,27MAR2025,22950.0,75,OPTIDX,NFO,5.0,2
48245,NIFTY27MAR2522950CE,NIFTY,27MAR2025,22950.0,75,OPTIDX,NFO,5.0,2
64565,NIFTY27MAR2523000PE,NIFTY,27MAR2025,23000.0,75,OPTIDX,NFO,5.0,2
64564,NIFTY27MAR2523000CE,NIFTY,27MAR2025,23000.0,75,OPTIDX,NFO,5.0,2
48346,NIFTY27MAR2523050PE,NIFTY,27MAR2025,23050.0,75,OPTIDX,NFO,5.0,2
48251,NIFTY27MAR2523050CE,NIFTY,27MAR2025,23050.0,75,OPTIDX,NFO,5.0,2
48348,NIFTY27MAR2523100PE,NIFTY,27MAR2025,23100.0,75,OPTIDX,NFO,5.0,2
48347,NIFTY27MAR2523100CE,NIFTY,27MAR2025,23100.0,75,OPTIDX,NFO,5.0,2
48350,NIFTY27MAR2523150PE,NIFTY,27MAR2025,23150.0,75,OPTIDX,NFO,5.0,2
48349,NIFTY27MAR2523150CE,NIFTY,27MAR2025,23150.0,75,OPTIDX,NFO,5.0,2
48696,NIFTY27MAR2523200PE,NIFTY,27MAR2025,23200.0,75,OPTIDX,NFO,5.0,2
48695,NIFTY27MAR2523200CE,NIFTY,27MAR2025,23200.0,75,OPTIDX,NFO,5.0,2
49835,NIFTY27MAR2523250PE,NIFTY,27MAR2025,23250.0,75,OPTIDX,NFO,5.0,2
49834,NIFTY27MAR2523250CE,NIFTY,27MAR2025,23250.0,75,OPTIDX,NFO,5.0,2
51119,NIFTY27MAR2523300PE,NIFTY,27MAR2025,23300.0,75,OPTIDX,NFO,5.0,2
51118,NIFTY27MAR2523300CE,NIFTY,27MAR2025,23300.0,75,OPTIDX,NFO,5.0,2
51120,NIFTY27MAR2523350CE,NIFTY,27MAR2025,23350.0,75,OPTIDX,NFO,5.0,2
51121,NIFTY27MAR2523350PE,NIFTY,27MAR2025,23350.0,75,OPTIDX,NFO,5.0,2
51122,NIFTY27MAR2523400CE,NIFTY,27MAR2025,23400.0,75,OPTIDX,NFO,5.0,2
51123,NIFTY27MAR2523400PE,NIFTY,27MAR2025,23400.0,75,OPTIDX,NFO,5.0,2
51127,NIFTY27MAR2523450PE,NIFTY,27MAR2025,23450.0,75,OPTIDX,NFO,5.0,2
51124,NIFTY27MAR2523450CE,NIFTY,27MAR2025,23450.0,75,OPTIDX,NFO,5.0,2
51399,NIFTY27MAR2523500CE,NIFTY,27MAR2025,23500.0,75,OPTIDX,NFO,5.0,2
51400,NIFTY27MAR2523500PE,NIFTY,27MAR2025,23500.0,75,OPTIDX,NFO,5.0,2
51459,NIFTY27MAR2523550CE,NIFTY,27MAR2025,23550.0,75,OPTIDX,NFO,5.0,2
51460,NIFTY27MAR2523550PE,NIFTY,27MAR2025,23550.0,75,OPTIDX,NFO,5.0,2
51473,NIFTY27MAR2523600CE,NIFTY,27MAR2025,23600.0,75,OPTIDX,NFO,5.0,2
51474,NIFTY27MAR2523600PE,NIFTY,27MAR2025,23600.0,75,OPTIDX,NFO,5.0,2
51476,NIFTY27MAR2523650PE,NIFTY,27MAR2025,23650.0,75,OPTIDX,NFO,5.0,2
51475,NIFTY27MAR2523650CE,NIFTY,27MAR2025,23650.0,75,OPTIDX,NFO,5.0,2
51478,NIFTY27MAR2523700PE,NIFTY,27MAR2025,23700.0,75,OPTIDX,NFO,5.0,2
51477,NIFTY27MAR2523700CE,NIFTY,27MAR2025,23700.0,75,OPTIDX,NFO,5.0,2
53847,NIFTY27MAR2523750PE,NIFTY,27MAR2025,23750.0,75,OPTIDX,NFO,5.0,2
53846,NIFTY27MAR2523750CE,NIFTY,27MAR2025,23750.0,75,OPTIDX,NFO,5.0,2
53976,NIFTY27MAR2523800CE,NIFTY,27MAR2025,23800.0,75,OPTIDX,NFO,5.0,2
53979,NIFTY27MAR2523800PE,NIFTY,27MAR2025,23800.0,75,OPTIDX,NFO,5.0,2
54720,NIFTY27MAR2523850PE,NIFTY,27MAR2025,23850.0,75,OPTIDX,NFO,5.0,2
54719,NIFTY27MAR2523850CE,NIFTY,27MAR2025,23850.0,75,OPTIDX,NFO,5.0,2
54721,NIFTY27MAR2523900CE,NIFTY,27MAR2025,23900.0,75,OPTIDX,NFO,5.0,2
54722,NIFTY27MAR2523900PE,NIFTY,27MAR2025,23900.0,75,OPTIDX,NFO,5.0,2
54724,NIFTY27MAR2523950PE,NIFTY,27MAR2025,23950.0,75,OPTIDX,NFO,5.0,2
54723,NIFTY27MAR2523950CE,NIFTY,27MAR2025,23950.0,75,OPTIDX,NFO,5.0,2
64566,NIFTY27MAR2524000CE,NIFTY,27MAR2025,24000.0,75,OPTIDX,NFO,5.0,2
64567,NIFTY27MAR2524000PE,NIFTY,27MAR2025,24000.0,75,OPTIDX,NFO,5.0,2
54726,NIFTY27MAR2524050PE,NIFTY,27MAR2025,24050.0,75,OPTIDX,NFO,5.0,2
54725,NIFTY27MAR2524050CE,NIFTY,27MAR2025,24050.0,75,OPTIDX,NFO,5.0,2
54727,NIFTY27MAR2524100CE,NIFTY,27MAR2025,24100.0,75,OPTIDX,NFO,5.0,2
54728,NIFTY27MAR2524100PE,NIFTY,27MAR2025,24100.0,75,OPTIDX,NFO,5.0,2
54819,NIFTY27MAR2524150CE,NIFTY,27MAR2025,24150.0,75,OPTIDX,NFO,5.0,2
54820,NIFTY27MAR2524150PE,NIFTY,27MAR2025,24150.0,75,OPTIDX,NFO,5.0,2
55061,NIFTY27MAR2524200PE,NIFTY,27MAR2025,24200.0,75,OPTIDX,NFO,5.0,2
55060,NIFTY27MAR2524200CE,NIFTY,27MAR2025,24200.0,75,OPTIDX,NFO,5.0,2
55103,NIFTY27MAR2524250PE,NIFTY,27MAR2025,24250.0,75,OPTIDX,NFO,5.0,2
55102,NIFTY27MAR2524250CE,NIFTY,27MAR2025,24250.0,75,OPTIDX,NFO,5.0,2
55197,NIFTY27MAR2524300CE,NIFTY,27MAR2025,24300.0,75,OPTIDX,NFO,5.0,2
55198,NIFTY27MAR2524300PE,NIFTY,27MAR2025,24300.0,75,OPTIDX,NFO,5.0,2
55199,NIFTY27MAR2524350CE,NIFTY,27MAR2025,24350.0,75,OPTIDX,NFO,5.0,2
55200,NIFTY27MAR2524350PE,NIFTY,27MAR2025,24350.0,75,OPTIDX,NFO,5.0,2
55339,NIFTY27MAR2524400CE,NIFTY,27MAR2025,24400.0,75,OPTIDX,NFO,5.0,2
55340,NIFTY27MAR2524400PE,NIFTY,27MAR2025,24400.0,75,OPTIDX,NFO,5.0,2
55345,NIFTY27MAR2524450PE,NIFTY,27MAR2025,24450.0,75,OPTIDX,NFO,5.0,2
55341,NIFTY27MAR2524450CE,NIFTY,27MAR2025,24450.0,75,OPTIDX,NFO,5.0,2
55656,NIFTY27MAR2524500CE,NIFTY,27MAR2025,24500.0,75,OPTIDX,NFO,5.0,2
55657,NIFTY27MAR2524500PE,NIFTY,27MAR2025,24500.0,75,OPTIDX,NFO,5.0,2
56527,NIFTY27MAR2524550PE,NIFTY,27MAR2025,24550.0,75,OPTIDX,NFO,5.0,2
56526,NIFTY27MAR2524550CE,NIFTY,27MAR2025,24550.0,75,OPTIDX,NFO,5.0,2
56528,NIFTY27MAR2524600CE,NIFTY,27MAR2025,24600.0,75,OPTIDX,NFO,5.0,2
56529,NIFTY27MAR2524600PE,NIFTY,27MAR2025,24600.0,75,OPTIDX,NFO,5.0,2
56534,NIFTY27MAR2524650CE,NIFTY,27MAR2025,24650.0,75,OPTIDX,NFO,5.0,2
56535,NIFTY27MAR2524650PE,NIFTY,27MAR2025,24650.0,75,OPTIDX,NFO,5.0,2
56542,NIFTY27MAR2524700CE,NIFTY,27MAR2025,24700.0,75,OPTIDX,NFO,5.0,2
56543,NIFTY27MAR2524700PE,NIFTY,27MAR2025,24700.0,75,OPTIDX,NFO,5.0,2
56545,NIFTY27MAR2524750PE,NIFTY,27MAR2025,24750.0,75,OPTIDX,NFO,5.0,2
56544,NIFTY27MAR2524750CE,NIFTY,27MAR2025,24750.0,75,OPTIDX,NFO,5.0,2
56546,NIFTY27MAR2524800CE,NIFTY,27MAR2025,24800.0,75,OPTIDX,NFO,5.0,2
56547,NIFTY27MAR2524800PE,NIFTY,27MAR2025,24800.0,75,OPTIDX,NFO,5.0,2
56566,NIFTY27MAR2524850CE,NIFTY,27MAR2025,24850.0,75,OPTIDX,NFO,5.0,2
56567,NIFTY27MAR2524850PE,NIFTY,27MAR2025,24850.0,75,OPTIDX,NFO,5.0,2
56569,NIFTY27MAR2524900PE,NIFTY,27MAR2025,24900.0,75,OPTIDX,NFO,5.0,2
56568,NIFTY27MAR2524900CE,NIFTY,27MAR2025,24900.0,75,OPTIDX,NFO,5.0,2
56572,NIFTY27MAR2524950CE,NIFTY,27MAR2025,24950.0,75,OPTIDX,NFO,5.0,2
56573,NIFTY27MAR2524950PE,NIFTY,27MAR2025,24950.0,75,OPTIDX,NFO,5.0,2
64571,NIFTY27MAR2525000PE,NIFTY,27MAR2025,25000.0,75,OPTIDX,NFO,5.0,2
64570,NIFTY27MAR2525000CE,NIFTY,27MAR2025,25000.0,75,OPTIDX,NFO,5.0,2
56866,NIFTY27MAR2525050CE,NIFTY,27MAR2025,25050.0,75,OPTIDX,NFO,5.0,2
56867,NIFTY27MAR2525050PE,NIFTY,27MAR2025,25050.0,75,OPTIDX,NFO,5.0,2
56868,NIFTY27MAR2525100CE,NIFTY,27MAR2025,25100.0,75,OPTIDX,NFO,5.0,2
56869,NIFTY27MAR2525100PE,NIFTY,27MAR2025,25100.0,75,OPTIDX,NFO,5.0,2
56871,NIFTY27MAR2525150PE,NIFTY,27MAR2025,25150.0,75,OPTIDX,NFO,5.0,2
56870,NIFTY27MAR2525150CE,NIFTY,27MAR2025,25150.0,75,OPTIDX,NFO,5.0,2
56873,NIFTY27MAR2525200PE,NIFTY,27MAR2025,25200.0,75,OPTIDX,NFO,5.0,2
56872,NIFTY27MAR2525200CE,NIFTY,27MAR2025,25200.0,75,OPTIDX,NFO,5.0,2
56874,NIFTY27MAR2525250CE,NIFTY,27MAR2025,25250.0,75,OPTIDX,NFO,5.0,2
56875,NIFTY27MAR2525250PE,NIFTY,27MAR2025,25250.0,75,OPTIDX,NFO,5.0,2
56876,NIFTY27MAR2525300CE,NIFTY,27MAR2025,25300.0,75,OPTIDX,NFO,5.0,2
56877,NIFTY27MAR2525300PE,NIFTY,27MAR2025,25300.0,75,OPTIDX,NFO,5.0,2
56879,NIFTY27MAR2525350PE,NIFTY,27MAR2025,25350.0,75,OPTIDX,NFO,5.0,2
56878,NIFTY27MAR2525350CE,NIFTY,27MAR2025,25350.0,75,OPTIDX,NFO,5.0,2
56880,NIFTY27MAR2525400CE,NIFTY,27MAR2025,25400.0,75,OPTIDX,NFO,5.0,2
56881,NIFTY27MAR2525400PE,NIFTY,27MAR2025,25400.0,75,OPTIDX,NFO,5.0,2
56883,NIFTY27MAR2525450PE,NIFTY,27MAR2025,25450.0,75,OPTIDX,NFO,5.0,2
56882,NIFTY27MAR2525450CE,NIFTY,27MAR2025,25450.0,75,OPTIDX,NFO,5.0,2
56884,NIFTY27MAR2525500CE,NIFTY,27MAR2025,25500.0,75,OPTIDX,NFO,5.0,2
56885,NIFTY27MAR2525500PE,NIFTY,27MAR2025,25500.0,75,OPTIDX,NFO,5.0,2
56887,NIFTY27MAR2525550PE,NIFTY,27MAR2025,25550.0,75,OPTIDX,NFO,5.0,2
56886,NIFTY27MAR2525550CE,NIFTY,27MAR2025,25550.0,75,OPTIDX,NFO,5.0,2
56888,NIFTY27MAR2525600CE,NIFTY,27MAR2025,25600.0,75,OPTIDX,NFO,5.0,2
56889,NIFTY27MAR2525600PE,NIFTY,27MAR2025,25600.0,75,OPTIDX,NFO,5.0,2
56891,NIFTY27MAR2525650PE,NIFTY,27MAR2025,25650.0,75,OPTIDX,NFO,5.0,2
56890,NIFTY27MAR2525650CE,NIFTY,27MAR2025,25650.0,75,OPTIDX,NFO,5.0,2
56893,NIFTY27MAR2525700PE,NIFTY,27MAR2025,25700.0,75,OPTIDX,NFO,5.0,2
56892,NIFTY27MAR2525700CE,NIFTY,27MAR2025,25700.0,75,OPTIDX,NFO,5.0,2
56894,NIFTY27MAR2525750CE,NIFTY,27MAR2025,25750.0,75,OPTIDX,NFO,5.0,2
56895,NIFTY27MAR2525750PE,NIFTY,27MAR2025,25750.0,75,OPTIDX,NFO,5.0,2
58784,NIFTY27MAR2525800PE,NIFTY,27MAR2025,25800.0,75,OPTIDX,NFO,5.0,2
58782,NIFTY27MAR2525800CE,NIFTY,27MAR2025,25800.0,75,OPTIDX,NFO,5.0,2
58786,NIFTY27MAR2525850CE,NIFTY,27MAR2025,25850.0,75,OPTIDX,NFO,5.0,2
58792,NIFTY27MAR2525850PE,NIFTY,27MAR2025,25850.0,75,OPTIDX,NFO,5.0,2
58793,NIFTY27MAR2525900CE,NIFTY,27MAR2025,25900.0,75,OPTIDX,NFO,5.0,2
58794,NIFTY27MAR2525900PE,NIFTY,27MAR2025,25900.0,75,OPTIDX,NFO,5.0,2
59769,NIFTY27MAR2525950CE,NIFTY,27MAR2025,25950.0,75,OPTIDX,NFO,5.0,2
59770,NIFTY27MAR2525950PE,NIFTY,27MAR2025,25950.0,75,OPTIDX,NFO,5.0,2
64573,NIFTY27MAR2526000PE,NIFTY,27MAR2025,26000.0,75,OPTIDX,NFO,5.0,2
64572,NIFTY27MAR2526000CE,NIFTY,27MAR2025,26000.0,75,OPTIDX,NFO,5.0,2
64577,NIFTY27MAR2527000PE,NIFTY,27MAR2025,27000.0,75,OPTIDX,NFO,5.0,2
64576,NIFTY27MAR2527000CE,NIFTY,27MAR2025,27000.0,75,OPTIDX,NFO,5.0,2
64578,NIFTY27MAR2528000CE,NIFTY,27MAR2025,28000.0,75,OPTIDX,NFO,5.0,2
64579,NIFTY27MAR2528000PE,NIFTY,27MAR2025,28000.0,75,OPTIDX,NFO,5.0,2
64582,NIFTY27MAR2529000CE,NIFTY,27MAR2025,29000.0,75,OPTIDX,NFO,5.0,2
64583,NIFTY27MAR2529000PE,NIFTY,27MAR2025,29000.0,75,OPTIDX,NFO,5.0,2
64591,NIFTY27MAR2530000PE,NIFTY,27MAR2025,30000.0,75,OPTIDX,NFO,5.0,2
64584,NIFTY27MAR2530000CE,NIFTY,27MAR2025,30000.0,75,OPTIDX,NFO,5.0,2
64593,NIFTY27MAR2531000PE,NIFTY,27MAR2025,31000.0,75,OPTIDX,NFO,5.0,2
64592,NIFTY27MAR2531000CE,NIFTY,27MAR2025,31000.0,75,OPTIDX,NFO,5.0,2
